Date,Close
9/19/14,51.51
9/22/14,51.67
9/23/14,51.29
9/24/14,51.96
9/25/14,51.62
9/26/14,51.1
9/29/14,51.71
9/30/14,51.18
10/1/14,50.53
10/2/14,50.21
10/3/14,50.85
10/6/14,51.11
10/7/14,49.77
10/8/14,50.21
10/9/14,49.5
10/10/14,50.28
10/13/14,49.09
10/14/14,48.92
10/15/14,48.96
10/16/14,49.22
10/17/14,50.42
10/20/14,50.56
10/21/14,51.95
10/22/14,51.84
10/23/14,52.5
10/24/14,53.63
10/27/14,53.53
10/28/14,54.2
10/29/14,54.16
10/30/14,58.98
10/31/14,58.19
11/3/14,57.8
11/4/14,57.84
11/5/14,57.82
11/6/14,58.46
11/7/14,58.32
11/10/14,58.81
11/11/14,58.72
11/12/14,58.61
11/13/14,57.8
11/14/14,57.95
11/17/14,58.43
11/18/14,58.7
11/19/14,58.81
11/20/14,58.61
11/21/14,58.8
11/24/14,58.87
11/25/14,58.52
11/26/14,58.86
11/28/14,59.05
12/1/14,59.05
12/2/14,59.24
12/3/14,59.03
12/4/14,58.89
12/5/14,60.65
12/8/14,60.67
12/9/14,59.97
12/10/14,59.28
12/11/14,59.68
12/12/14,58.75
12/15/14,58.55
12/16/14,57.69
12/17/14,59.19
12/18/14,60.79
12/19/14,61.3
12/22/14,61.06
12/23/14,59.16
12/24/14,59.15
12/26/14,59.58
12/29/14,59.81
12/30/14,59.39
12/31/14,59.03
1/2/15,59.51
1/5/15,58.58
1/6/15,58.48
1/7/15,59.24
1/8/15,60.72
1/9/15,60.32
1/12/15,62.18
1/13/15,63.12
1/14/15,62.95
1/15/15,61.63
1/16/15,62.31
1/20/15,62.45
1/21/15,61.95
1/22/15,62.09
1/23/15,62.07
1/26/15,62.46
1/27/15,61.99
1/28/15,61.33
1/29/15,61.14
1/30/15,60.27
2/2/15,60.23
2/3/15,59.86
2/4/15,59.24
2/5/15,60.23
2/6/15,59.67
2/9/15,58.85
2/10/15,59.83
2/11/15,59.31
2/12/15,59.48
2/13/15,60.04
2/17/15,60.1
2/18/15,60.01
2/19/15,59.55
2/20/15,60.52
2/23/15,61.29
2/24/15,61.45
2/25/15,61.22
2/26/15,61.46
2/27/15,60.92
3/2/15,62.3
3/3/15,61.92
3/4/15,65.67
3/5/15,66.05
3/6/15,65.12
3/9/15,66.36
3/10/15,65.53
3/11/15,65.6
3/12/15,66.65
3/13/15,66.87
3/16/15,68.03
3/17/15,67.62
3/18/15,68.47
3/19/15,68.32
3/20/15,67.76
3/23/15,67.58
3/24/15,65.69
3/25/15,64.7
3/26/15,65
3/27/15,65.26
3/30/15,65.76
3/31/15,64.5
4/1/15,63.56
4/2/15,63.23
4/6/15,63
4/7/15,63
4/8/15,63.52
4/9/15,63.46
4/10/15,64.64
4/13/15,63.95
4/14/15,64.03
4/15/15,63.43
4/16/15,63.68
4/17/15,65.35
4/20/15,65.86
4/21/15,66.81
4/22/15,66.6
4/23/15,66
4/24/15,65.8
4/27/15,65.16
4/28/15,64.54
4/29/15,64.29
4/30/15,63.73
5/1/15,64.66
5/4/15,65.32
5/5/15,65.03
5/6/15,64.67
5/7/15,65.05
5/8/15,66.93
5/11/15,68.11
5/12/15,67.5
5/13/15,67.4
5/14/15,67.45
5/15/15,67.64
5/18/15,68
5/19/15,68.27
5/20/15,69.08
5/21/15,68.89
5/22/15,68.3
5/26/15,67.5
5/27/15,68.4
5/28/15,69.15
5/29/15,64.6
6/1/15,66.48
6/2/15,65.8
6/3/15,65.7
6/4/15,65.77
6/5/15,66.2
6/8/15,65.32
6/9/15,65.08
6/10/15,65.53
6/11/15,65.85
6/12/15,65.28
6/15/15,65.42
6/16/15,65.97
6/17/15,66.3
6/18/15,66.62
6/19/15,66.8
6/22/15,67.06
6/23/15,67.33
6/24/15,66.81
6/25/15,66.84
6/26/15,67.54
6/29/15,65.97
6/30/15,66.54
7/1/15,67.67
7/2/15,67.48
7/6/15,67.5
7/7/15,68.23
7/8/15,67.74
7/9/15,67.89
7/10/15,69.27
7/13/15,69.66
7/14/15,70.06
7/15/15,69.28
7/16/15,69.38
7/17/15,69.29
7/20/15,69.97
7/21/15,68.87
7/22/15,69.37
7/23/15,68.24
7/24/15,65.98
7/27/15,64.3
7/28/15,64.66
7/29/15,64.89
7/30/15,64.46
7/31/15,65.64
8/3/15,65.34
8/4/15,64.84
8/5/15,65.06
8/6/15,63.54
8/7/15,63.41
8/10/15,63.89
8/11/15,62.66
8/12/15,62.39
8/13/15,62.42
8/14/15,63.08
8/17/15,63.47
8/18/15,64.28
8/19/15,64.12
8/20/15,62.71
8/21/15,61.07
8/24/15,58.65
8/25/15,57.88
8/26/15,60.03
8/27/15,60.82
8/28/15,60.61
8/31/15,59.47
9/1/15,58.2
9/2/15,59.61
9/3/15,58.75
9/4/15,57.3
9/8/15,58.99
9/9/15,58.03
9/10/15,58.75
9/11/15,59.22
9/14/15,59.17
9/15/15,60.09
9/16/15,61.61
9/17/15,62.19
9/18/15,64.34
9/21/15,62.72
9/22/15,62.09
9/23/15,61.74
9/24/15,61.8
9/25/15,60.24
9/28/15,57.46
9/29/15,58.95
9/30/15,59.2
10/1/15,60.05
10/2/15,62.23
10/5/15,61.97
10/6/15,59.88
10/7/15,60.55
10/8/15,60.51
10/9/15,61.44
10/12/15,62.71
10/13/15,62.34
10/14/15,62.08
10/15/15,63.62
10/16/15,64.49
10/19/15,65.08
10/20/15,63.89
10/21/15,62.51
10/22/15,63.18
10/23/15,65.16
10/26/15,64.55
